line_name,appropriation_code,appropriated_amount,original_description,line_type,explicit_project_address,source_url,source_version
176-3012. Northwest Special Recreation Assoc - Building,971-42017-4900-7419,82.00,"SECTION 3012. THE SUM OF $82, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 3012 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO NORTHWEST SPECIAL RECREATION ASSOCIATION FOR ALL COSTS ASSOCIATED WITH BUILDING RENOVATIONS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
176-3044. Palatine Township Town Fund,971-42017-4900-8319,9758.00,"SECTION 3044. THE SUM OF $9,758, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 3044 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO PALATINE TOWNSHIP TOWN FUND FOR ALL COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
176-3013. Access to Care,971-42017-4900-8719,1.00,"SECTION 3013. THE SUM OF $1, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 3013 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO ACCESS TO CARE FOR ALL COSTS ASSOCIATED WITH PURCHASE AND INSTALLATION OF A PHONE SYSTEM, COMPUTER SOFTWARE, AND COMPUTER SYSTEM.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
175-5045. Chicago Park District - 48th Ward,971-42018-4400-0123,100000.00,"SECTION 5045. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 183, SECTION 5045 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CHICAGO PARK DISTRICT FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS TO COCHRAN PARK IN THE 48TH WARD.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
171-5530. Metropolitan Family Services,971-42018-4400-0223,200000.00,"SECTION 5530. THE SUM OF $200,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 179, SECTION 5530 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE METROPOLITAN FAMILY SERVICES FOR THE COSTS ASSOCIATED WITH RENOVATION AND INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
171-5555. American Legion Dormna-Dunn Post 547,971-42018-4400-0323,150000.00,"SECTION 5555. THE SUM OF $150,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 179, SECTION 5555 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE AMERICAN LEGION DORMNA-DUNN POST 547 FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
171-5566. Old Neighborhood Italian American Club,971-42018-4400-0423,100000.00,"SECTION 5566. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 179, SECTION 5566 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE OLD NEIGHBORHOOD ITALIAN AMERICAN CLUB FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
171-5567. ABC Pilsen,971-42018-4400-0523,350000.00,"SECTION 5567. THE SUM OF $350,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 179, SECTION 5567 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO ABC PILSEN FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
"129-2830. Mutual Ground, Inc. expansions and renovations",971-42018-4400-0624,5000000.00,"SECTION 2830. THE SUM OF $5,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2830 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO MUTUAL GROUND, INC. FOR ALL COSTS ASSOCIATED WITH THE EXPANSION AND RENOVATIONS OF ITS EXISTING PROGRAM FACILITY.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-1799. Village of Maywood,971-42018-4400-0724,250000.00,"SECTION 1799. THE SUM OF $250,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 1799 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF MAYWOOD FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-1801. Village of Bellwood,971-42018-4400-0824,0.00,"Section 1801. The sum of $250,000 $ -0- , or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from a reappropriation heretofore made for such purpose in Article 136, Section 1801 of Public Act 103-0589, as amended, is reappropriated from the Build Illinois Bond Fund to the Department of Commerce and Economic Opportunity for a grant to the Village of Bellwood for costs associated with capital improvements.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-1802. Memorial Park District,971-42018-4400-0924,311203.00,"Section 1802. The sum of $500,000 $311,203, or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from a reappropriation heretofore made for such purpose in Article 136, Section 1802 of Public Act 103-0589, as amended, is reappropriated from the Build Illinois Bond Fund to the Department of Commerce and Economic Opportunity for a grant to the Memorial Park District for costs associated with infrastructure improvements.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2371. BI-B: Economic Development (24),971-42018-4400-1024,30000000.00,"SECTION 2371. THE SUM OF $30,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2371 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR THE PURPOSE OF MAKING GRANTS AND LOANS TO FOSTER ECONOMIC DEVELOPMENT AND INCREASE EMPLOYMENT AND THE WELL-BEING OF THE CITIZENS OF ILLINOIS, AND FOR ANY OTHER PURPOSES AUTHORIZED IN SUBSECTION (B) OF SECTION 4 OF THE BUILD ILLINOIS BOND ACT AND FOR GRANTS TO STATE AGENCIES FOR SUCH PURPOSES, INCLUDING PRIOR YEAR COSTS.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2372. BI-B: Clean Energy (24),971-42018-4400-1124,13000000.00,"Section 2372. The sum of $35,000,000 $34,380,000, or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from a reappropriation heretofore made for such purpose in Article 136, Section 2372 of Public Act 103-0589, as amended, is reappropriated from the Build Illinois Bond Fund to the Department of Commerce and Economic Opportunity for grants, awards, and contingent costs associated with infrastructure projects, including but not limited to zero emission vehicle manufacturing, clean energy, supply chain manufacturing, and environmental purposes, including prior year costs.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
WIELAND ROLLED PRODUCTS,971-42018-4400-1124,19380000.00,"THE INTENT OF THIS GRANT IS TO PROVIDE SUPPORT FOR THE PURCHASE OF EQUIPMENT ESSENTIAL TO INFRASTRUCTURE IMPROVEMENTS AT A METAL PRODUCTS MANUFACTURING FACILITY IN MADISON COUNTY. SPECIFICALLY, THIS GRANT SEEKS TO INCENTIVIZE THE PURCHASE OF CRITICAL ELECTRICAL AND PLUMBING EQUIPMENT. THE GRANTEE OF THIS PROGRAM HAS DEMONSTRATED A COMMITMENT TO CONTINUED PRODUCTION OF EV COMPONENTS IN ILLINOIS THROUGH A SUCCESSFUL APPLICATION TO THE ILLINOIS REIMAGINING ELECTRIC VEHICLES AND CLEAN ENERGY (REV)",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
PURE LITHIUM CORPORATION,971-42018-4400-1124,2000000.00,THE GRANTEE WILL ESTABLISH A SEMI-AUTOMATED PILOT MANUFACTURING FACILITY FOR THE VERTICAL INTEGRATION AND COMMERCIALIZATION OF A LITHIUM METAL (LI-M) BATTERY AT THE GRANTEE-LEASED PROPERTIES ON THE 1ST AND 5TH FLOORS OF 400 N ABERDEEN AVENUE IN CHICAGO.,lump_sum,400 N ABERDEEN AVENUE,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2373. BI-B: Prime Sites (24),971-42018-4400-1224,0.00,"SECTION 2373. THE SUM OF $12,500,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2373 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR THE PURPOSE OF MAKING GRANTS AND LOANS TO FOSTER ECONOMIC DEVELOPMENT AND INCREASE EMPLOYMENT AND THE WELL-BEING OF THE CITIZENS OF ILLINOIS, AND FOR ANY OTHER PURPOSES AUTHORIZED IN SUBSECTION (B) OF SECTION 4 OF THE BUILD ILLINOIS BOND ACT AND FOR GRANTS TO STATE AGENCIES FOR SUCH PURPOSES, INCLUDING PRIOR YEAR COSTS.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
GOTION INC,971-42018-4400-1224,12500000.00,"GRANT FUNDS WILL BE UTILIZED FOR A PORTION OF THE COSTS ASSOCIATED WITH DOWN PAYMENT ON THE PROPERTY, AS WELL AS PURCHASE AND INSTALLATION OF ELECTRICAL EQUIPMENT AND MATERIAL, TRANSPORTATION AND CONSTRUCTION.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2374. BI-B: Enterprise Fund (24),971-42018-4400-1324,31625000.00,"Section 2374. The sum of $60,000,000 $47,250,000, or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from a reappropriation heretofore made for such purpose in Article 136, Section 2374 of Public Act 103-0589, as amended, is reappropriated from the Build Illinois Bond Fund to the Department of Commerce and Economic Opportunity for the purpose of making grants and loans to foster economic development and increase employment and the well-being of the citizens of Illinois, and for any other purposes authorized in subsection (b) of Section 4 of the Build Illinois Bond Act and for grants to State agencies for such purposes, including prior year costs.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
UNIVERSITY OF ILLINOIS,971-42018-4400-1324,12500000.00,"GRANT FUNDS WILL BE USED TO PURCHASE EQUIPMENT HARDWARE TO SUPPORT THE ILLINOIS QUANTUM AND MICROELECTRONICS PARK (IQMP) BEING DEVELOPED IN CHICAGO. THE STATE-OF-THE-ART IQMP WILL INCLUDE QUANTUM, MICROELECTRONICS AND AFFILIATED INDUSTRIES AND SUPPLIERS, WORKFORCE DEVELOPMENT FACILITIES, AND CRYOGENIC FACILITIES ESSENTIAL FOR RESEARCH AND DEVELOPMENT IN NEXT-GENERATION MICROELECTRONICS AND QUANTUM TECHNOLOGIES.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
TROPICANA PRODUCTS INC,971-42018-4400-1324,750000.00,THE PURPOSE OF THIS GRANT IS TO PROVIDE NEEDED SUPPORT TO A FOOD AND BEVERAGE COMPANY WITH A LONG- STANDING PRESENTS IN ILLINOIS WHO IS CONSIDERING ADDITIONAL EXPANSION AND RESEARCH AND DEVELOPMENT INTO EMERGING FOOD AND BEVERAGE PRODUCTS. THIS GRANT WILL SUPPORT A FOR-PROFIT COMPANYKS EXPANSION RELOCATION AND EXPANSION OF PRODUCTION AND RESEARCH AND DEVELOPMENT FACILITIES THROUGH THE REIMBURSEMENT OF CAPITALLY ELIGIBLE EXPENSES.,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
ADIENT US LLC,971-42018-4400-1324,2375000.00,"SUPPORT EXPANSION OF EV COMP & VEHICLE MANUF IN MCLEAN. ELIG APPS REQUIRE REV TIER 1. GRANTEE LEASING AT 2601 W COLLEGE AVE, NORMAL. M&E TO SUPPORT ASSEMBLY & TESTING OF AUTO SEATS",lump_sum,2601 W COLLEGE AVE,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2385. Village of Forest Park Park Department,971-42018-4400-1424,2500000.00,"SECTION 2385. THE SUM OF $2,500,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2385 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF FOREST PARK PARK DISTRICT FOR COSTS ASSOCIATED WITH CONSTRUCTION OF A NEW MULTI-PURPOSE FACILITY AND OFFICE SPACE FOR WEST SUBURBAN SPECIAL RECREATION ASSOCIATION.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2435. MI - Lump Sum,971-42018-4400-1524,5150000.00,"SECTION 2435. THE SUM OF $5,150,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2435 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO LOCAL GOVERNMENTS, SCHOOL DISTRICTS AND COMMUNITY BASED PROVIDERS FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2440. THE FORUM Bronzeville,971-42018-4400-1624,500000.00,"SECTION 2440. THE SUM OF $500,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2440 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE FORUM BRONZEVILLE FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2445. St Bernard Hospital,971-42018-4400-1724,610000.00,"SECTION 2445. THE SUM OF $610,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2445 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO ST BERNARD HOSPITAL FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2450. Pure Living Recovery and Rehabilitation,971-42018-4400-1824,0.00,"Section 2450. The sum of $100,000 $ -0- , or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from a reappropriation heretofore made for such purpose in Article 136, Section 2450 of Public Act 103-0589, as amended, is reappropriated from the Build Illinois Bond Fund to the Department of Commerce and Economic Opportunity for a grant to Pure Living Recovery and Rehabilitation for costs associated with infrastructure improvements.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
"129-2455. Emma L Wilson King Foundation, Inc",971-42018-4400-1924,1800000.00,"Section 2455. The sum of $2,000,000 $1,800,000, or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from a reappropriation heretofore made for such purpose in Article 136, Section 2455 of Public Act 103-0589, as amended, is reappropriated from the Build Illinois Bond Fund to the Department of Commerce and Economic Opportunity for a grant to the Emma L Wilson King Foundation, Inc. for costs associated with infrastructure improvements.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2460. City of Shiloh,971-42018-4400-2024,650000.00,"SECTION 2460. THE SUM OF $650,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2460 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF SHILOH FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2465. T.A.K.E.,971-42018-4400-2124,250000.00,"SECTION 2465. THE SUM OF $250,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2465 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO T.A.K.E. FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2475. Gustave Koerner House,971-42018-4400-2324,250000.00,"SECTION 2475. THE SUM OF $250,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2475 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE GUSTAVE KOERNER HOUSE FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2480. East Saint Louis Community Performance Enemble,971-42018-4400-2424,100000.00,"SECTION 2480. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2480 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE EAST SAINT LOUIS COMMUNITY PERFORMANCE ENEMBLE FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2495. Show em What U Got Foundation,971-42018-4400-2724,200000.00,"SECTION 2495. THE SUM OF $200,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2495 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE SHOW EM WHAT U GOT FOUNDATION FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
