csfa_number,program_name,agency,record_type,award_id,grantee_name,award_amount,award_amount_raw,award_start_date,award_end_date,award_period,grantee_location,fiscal_year,chicago_likely,chicago_signal,amount_meaning,source,source_url
420-70-1630,Community Services Block Grant Discretionary Grant Program,DCEO (420),award,26-232071,"Immigration Project, Inc",125000.0,"125,000",01/01/2026,06/30/2027,01/01/2026 - 06/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1630
420-70-1630,Community Services Block Grant Discretionary Grant Program,DCEO (420),award,26-232072,"United Migrant Opportunity Services/UMOS, Inc.",200000.0,"200,000",01/01/2026,06/30/2027,01/01/2026 - 06/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1630
420-70-1630,Community Services Block Grant Discretionary Grant Program,DCEO (420),award,26-232073,Western Illinois Dreamers,125000.0,"125,000",01/01/2026,06/30/2027,01/01/2026 - 06/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1630
420-75-1631,Community Development Block Grant Economic Development Program,DCEO (420),award,22-241001,City of Belvidere,1000000.0,"1,000,000",12/01/2024,11/30/2026,12/01/2024 - 11/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1631
420-75-1631,Community Development Block Grant Economic Development Program,DCEO (420),award,21-241001,Village of Deer Creek,1000000.0,"1,000,000",05/01/2026,04/30/2027,05/01/2026 - 04/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1631
420-75-1631,Community Development Block Grant Economic Development Program,DCEO (420),award,22-241003,Village of Morton,600000.0,"600,000",01/01/2025,12/31/2026,01/01/2025 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1631
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,18-242033,City of Abingdon,367879.0,"367,879",11/01/2024,09/30/2026,11/01/2024 - 09/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242020,City of Albion,1439115.0,"1,439,115",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,20-242030,City of Arcola,619923.0,"619,923",01/01/2025,12/30/2026,01/01/2025 - 12/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242002,City of Arcola,700077.0,"700,077",01/01/2025,12/31/2026,01/01/2025 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,21-242022,City of Bushnell,1499999.0,"1,499,999",01/01/2025,12/31/2026,01/01/2025 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,21-242023,City of Cairo,1490400.0,"1,490,400",03/01/2025,02/28/2027,03/01/2025 - 02/28/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,21-242024,City of Canton,1326726.0,"1,326,726",02/01/2025,01/31/2027,02/01/2025 - 01/31/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,21-242025,City of Carmi,587657.0,"587,657",11/01/2024,10/31/2026,11/01/2024 - 10/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242023,City of Coffeen,898676.0,"898,676",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242024,City of Effingham,1500000.0,"1,500,000",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242025,City of Fairfield,1000000.0,"1,000,000",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242026,City of Galesburg,592377.0,"592,377",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,22-242022,City of Galesburg,393823.0,"393,823",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,21-242029,City of Golconda,723100.0,"723,100",12/01/2024,11/30/2026,12/01/2024 - 11/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,24-242011,City of Grayville,1000000.0,"1,000,000",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242027,City of Lawrenceville,1000000.0,"1,000,000",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242008,City of Litchfield,1499999.0,"1,499,999",05/01/2025,04/30/2027,05/01/2025 - 04/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,24-242014,City of Marseilles,1000000.0,"1,000,000",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,21-242001,City of Mason City,550000.0,"550,000",12/01/2023,11/30/2026,12/01/2023 - 11/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,18-242029,City of Nason,1500000.0,"1,500,000",05/01/2024,10/31/2026,05/01/2024 - 10/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242030,City of Neoga,888925.0,"888,925",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242014,City of Oakland,1500000.0,"1,500,000",12/01/2024,11/30/2026,12/01/2024 - 11/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,24-242001,City of Ottawa,1247792.0,"1,247,792",01/01/2025,12/31/2027,01/01/2025 - 12/31/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,24-242002,City of Pana,0.0,0,04/01/2025,03/31/2027,04/01/2025 - 03/31/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,20-305005,City of Pana,1500000.0,"1,500,000",05/01/2025,04/30/2027,05/01/2025 - 04/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,19-242040,City of Rochelle,1052200.0,"1,052,200",11/01/2024,10/31/2026,11/01/2024 - 10/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,20-242031,City of Salem,119142.0,"119,142",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,22-242020,City of Salem,880858.0,"880,858",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,24-242003,City of Sparta,1500000.0,"1,500,000",01/01/2025,12/31/2026,01/01/2025 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242032,City of St. Elmo,1000000.0,"1,000,000",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,24-242004,City of Sullivan,650000.0,"650,000",12/01/2024,11/30/2026,12/01/2024 - 11/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,24-242007,City of Toulon,1385000.0,"1,385,000",02/01/2025,01/31/2027,02/01/2025 - 01/31/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,20-242027,City of Vandalia,98906.0,"98,906",12/01/2024,11/30/2026,12/01/2024 - 11/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,21-242019,City of Virden,730625.0,"730,625",06/01/2025,05/31/2027,06/01/2025 - 05/31/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,22-242008,Fayette County,1300000.0,"1,300,000",09/01/2025,08/31/2027,09/01/2025 - 08/31/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242010,Town of Mason,1330880.0,"1,330,880",05/01/2025,04/30/2027,05/01/2025 - 04/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242021,Village of Ashmore,945000.0,"945,000",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,22-242001,Village of Augusta,1500000.0,"1,500,000",02/01/2024,01/31/2027,02/01/2024 - 01/31/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,20-305001,Village of Beecher City,1500000.0,"1,500,000",05/01/2025,04/30/2027,05/01/2025 - 04/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,19-242037,Village of Brocton,1020000.0,"1,020,000",10/01/2024,09/30/2026,10/01/2024 - 09/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242022,Village of Buda,470000.0,"470,000",06/01/2026,05/31/2028,06/01/2026 - 05/31/2028,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,21-242027,Village of Cobden,263574.0,"263,574",05/01/2025,04/30/2027,05/01/2025 - 04/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242003,Village of Cobden,437751.0,"437,751",05/01/2025,04/30/2027,05/01/2025 - 04/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,22-242005,Village of Dover,964850.0,"964,850",11/01/2024,10/31/2026,11/01/2024 - 10/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,21-242028,Village of Findlay,0.0,0,12/01/2024,11/30/2026,12/01/2024 - 11/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,20-305002,Village of Findlay,1500000.0,"1,500,000",05/01/2025,04/30/2027,05/01/2025 - 04/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,21-242030,Village of Granville,1447149.0,"1,447,149",03/01/2025,02/28/2027,03/01/2025 - 02/28/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,21-242031,Village of Hutsonville,942800.0,"942,800",02/01/2025,01/31/2027,02/01/2025 - 01/31/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242004,Village of Illiopolis,1500000.0,"1,500,000",12/01/2024,11/30/2026,12/01/2024 - 11/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242005,Village of Irving,1500000.0,"1,500,000",01/01/2025,12/31/2026,01/01/2025 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,19-242034,Village of Jeffersonville,408740.0,"408,740",12/01/2023,11/30/2026,12/01/2023 - 11/30/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,20-305003,Village of Kansas,1310000.0,"1,310,000",05/01/2025,04/30/2027,05/01/2025 - 04/30/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
420-75-1632,Community Development Block Grant Public Infrastructure Program,DCEO (420),award,23-242006,Village of Kansas,0.0,0,02/01/2025,01/31/2027,02/01/2025 - 01/31/2027,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1632
