id,name,sponsor,level,instrument,status,closingSoon,daysToClose,cadence,opensAt,closesAt,closesAtTime,windowLabel,nextWindowExpected,amountDisplay,amountShare,geography,entityTypes,stage,demographicRestriction,useOfFunds,keyExclusions,costToApply,legitimacy,isNew,newBecause,inExplorerCatalog,explorerCatalogId,applyUrl,sourceUrl,verifiedAt,evidence,notes,tier,validationErrors
toast-changemakers-2026,2026 Toast Changemakers Program,"Toast.org, in partnership with Hello Alice and GEN",Private,grant,open,True,20,recurring_scheduled,2026-09-10,2026-10-01,18:00 America/New_York (5:00 p.m. America/Chicago),2026 round,,"$10,000 x 15 restaurant owners",,"United States (50 states, DC, Puerto Rico)",for_profit,operating_6mo,none,working_capital;equipment;other,2025 Toast Changemakers recipients are ineligible; must demonstrate a clear plan to expand existing food-insecurity work,free,official,True,announced 2026-09-10,False,,https://www.helloalice.com/opportunities/grants/toast,https://www.helloalice.com/opportunities/grants/toast,2026-09-11,"""Applications open: September 10, 2026 at 9 AM ET / Applications close: October 1, 2026 at 6 PM ET""; ""fifteen restaurant owners across the United States will each receive a $10,000 grant.""","Opened one day before the date of record - not in the Sept 10 Chamber research. Strong fit for Southeast Chicago restaurants already running community meal, food-donation or food-bank partnership programs; the food-insecurity work must already exist, not be proposed. Applicant does NOT need to be a Toast customer per the published criteria. Read with a real browser (Hello Alice blocks curl).",private-national,
landmarks-il-preservation-heritage-fund,Preservation Heritage Fund Grant Program,Landmarks Illinois,Nonprofit,grant,open,True,20,recurring_scheduled,,2026-10-01,,Fall 2026 deadline,2027-04-01,"$500 to $5,000",Matching basis; the match may be a direct dollar amount or the equivalent value in volunteer labor or services,Illinois,nonprofit;property_owner,any,none,building_improvements;facade;other,"""Ordinary expenses of owning or maintaining an Eligible Resource will not be considered preservation expenses."" For-profit owners cannot file a complete application without a prior exceptional-circumstances determination from Landmarks Illinois.",free,official,False,,False,,https://www.landmarks.org/preservation-heritage-fund-grant-program/,https://www.landmarks.org/preservation-heritage-fund-grant-program/,2026-09-11,"Live page today confirms the next deadline after Sept 11, 2026 is ""October 1""; apply via Submittable. Amounts and match terms from the sponsor's own guidelines PDF verified 2026-09-10.","Deadline date re-verified live today; amount/match/conditions carried from the Chamber's Sept 10 verification of the sponsor's own guidelines PDF. The mandatory agreement to seek landmark designation and the IRS-nonprofit documentation requirement are the two real gates. Contact Suzanne Germann, (312) 922-1742 x225.",foundation-sector,
illinois-works-pre-apprenticeship-round-6,"Illinois Works Pre-Apprenticeship Program (FY27-1, Round 6)",Illinois Department of Commerce and Economic Opportunity (DCEO),State,grant,open,True,21,recurring_scheduled,2026-09-02,2026-10-02,"17:00, time zone not stated on page (page prints '5:00 PM')",FY27-1 / Round 6,,"$150,000 - $550,000 (25 anticipated awards; $12,000,000 total)",,Illinois (statewide; applicants propose an Economic Development Region to serve),nonprofit,established,"none (program targets underrepresented populations as participants, not as applicants)",training;other,For-profit businesses are not listed as eligible applicant types. Existing Illinois Works grantees may apply only to serve a different geographic area/EDR.,free,official,True,first window in 2026 - NOFO posted 2026-09-02,False,,https://app.smartsheet.com/b/form/a66ba7f4bbf24cb0b9a9ac7b362d6c08,https://dceo.illinois.gov/aboutdceo/grantopportunities/2614-4323.html,2026-09-11,"Page fields: 'Application Date Range 09/02/2026 - 10/02/2026 : 5:00 PM', 'Award Range $150,000 - $550,000', 'Estimated Total Program Funding $12,000,000'.","Chamber eligibility verified in the NOFO supplement PDF: 'Non-profit community-based organizations, such as colleges, industry associations, employment social enterprises (non-profit), chambers of commerce, local workforce innovation areas, community colleges, technical schools, or school districts.' GATA pre-qualification (SAM.gov UEI + Grantee Portal) is required before applying. Time zone of the 5:00 PM cutoff is not stated. Chamber's Sept 10 notes said $25M / 45 programs - that was a prior round; the live FY27 NOFO says $12M / 25 awards. Optional technical assistance session was 09/15/2026 9:00 AM.",county-state,
cct-coalitions-economic-mobility-2026,RFP: Coalitions Advancing Economic Mobility — Policy Change,The Chicago Community Trust,Foundation,grant,open,False,28,one_time,,2026-10-09,,Full application deadline,,"$50,000 to $150,000 annually, for terms of one to three years",,Chicago region,nonprofit,established,none,other,This is a policy-change RFP - it does not fund direct service or facility rehab.,free,official,True,not in Explorer catalog,False,,https://www.cct.org/grants/opportunities/rfp-coalitions-advancing-economic-mobility-policy-change/,https://www.cct.org/grants/opportunities/rfp-coalitions-advancing-economic-mobility-policy-change/,2026-09-11,"""Full Application Deadline: October 9, 2026""; grants $50,000-$150,000 annually for one to three years; ""Final awards and terms will be determined by the Trust.""","The 501(c)(3)/fiscal-sponsor rule comes from the Trust's general opportunities page rather than this RFP page. Programmatic contact: Jalen Preacely, jpreacely@cct.org. Suits a coalition, not a single small nonprofit.",foundation-sector,
illinois-arts-council-creative-accelerator-fund-fy27,Creative Accelerator Fund (CAF) - FY27,Illinois Arts Council Agency (IACA),State,award_drawing,open,False,33,recurring_scheduled,2026-09-02,2026-10-14,"23:59, time zone not stated on page (page prints '11:59pm')",FY27 cycle,,"$10,000 taxable award",,Illinois (awards allocated across IAC regions; Chicago artists compete within their region),individual,established,none,other,"Organizations, nonprofits and for-profit arts businesses cannot apply. Students in degree programs are excluded.",free,official,True,first window in 2026 - FY27 portal opened 2026-09-02,False,,https://arts-illinois.my.site.com/,https://arts.illinois.gov/granting-opportunities/grants-programs/creative-accelerator-fund.html,2026-09-11,"Portal opened September 2, 2026; deadline October 14, 2026 at 11:59pm; $10,000 taxable award; review/notification October-December 2026; grant period January 1 - August 31, 2027. Also shown as open on the IAC Grant Tracker.","Flagged as award_drawing because IACA uses 'compliance-based evaluation criteria' and randomized selection 'done in partnership with the Illinois State Lottery' rather than artistic-merit review - it is an official state program, free to enter, but the selection is a lottery among compliant applicants. The residency-establishment date reads 'October 14, 2025' on the page (one year before the deadline); confirm if an applicant is a recent arrival. Cross-checked on https://arts.illinois.gov/iac-grant-tracker.html the same day.",county-state,
galaxy-grants-hidden-star-2026,Galaxy Grant,Hidden Star (Galaxy of Stars),Nonprofit,grant,open,False,50,recurring_scheduled,,2026-10-31,not stated on the page,Fall 2026 round,,"$2,500",,United States,for_profit;individual,pre_revenue_ok,"other (the sponsor page frames the grant as serving women and minority business owners and the form collects gender and ethnicity, but no explicit eligibility exclusion is published)",working_capital;other,None published,free,official,False,,False,,https://www.galaxyofstars.org/galaxy-grants/,https://www.galaxyofstars.org/galaxy-grants/,2026-09-11,"""Deadline is October 31st, 2026 & winner(s) are announced the following week."" ""$2,500 Galaxy Grant - FREE to Apply!"" ""Only takes 30 seconds to apply!""","Hidden Star is a real 501(c)(3). Free, but the 30-second form is an email/ZIP data-capture funnel with an upsell to a 'Galaxy Plus+' membership and a free 'Galaxy Starter' account. SELECTION METHOD IS UNVERIFIED: aggregators describe a weighted random drawing; the sponsor's own page states no method. Aspiring (pre-launch) owners are explicitly eligible.",private-national,
peoples-gas-charitable-giving,"Peoples Gas Charitable Giving (Program, Project, Capital and General Operating Grants)",Peoples Gas (WEC Energy Group),Utility,grant,open,False,50,recurring_scheduled,,2026-10-31,,"Quarterly deadlines: Jan. 31, April 30, July 31 and Oct. 31 - next is Oct. 31, 2026",2027-01-31,Not published; general operating and specific program grants (capital campaigns in rare instances),,Peoples Gas service area (City of Chicago),nonprofit,established,none,other;marketing;training,"Not eligible: individuals; fraternal, religious or political organizations; trips, tours, pageants or athletics; team/extracurricular school events or student exchange; organizations outside the service area (unless the project is delivered directly to customer communities); non-501(c)(3) organizations. Organizations may receive funding only ONCE per calendar year.",free,official,True,not in Explorer catalog,False,,https://www.wecenergygroup.com/community/peoples-gas-charitable-giving.htm,https://www.wecenergygroup.com/community/peoples-gas-charitable-giving.htm,2026-09-11,"wecenergygroup.com today: 'Quarterly deadlines: Jan. 31, April 30, July 31 and Oct. 31. Note: Organizations are eligible to receive funding only once per calendar year.'","Not in the Explorer catalog and the highest-probability utility grant for a Southeast Chicago nonprofit (community and neighborhood development is an explicit funding area). Peoples Gas and North Shore Gas gave $4,066,269 total in 2025, including $1,433,878 to Community and Neighborhood. IMPORTANT: the application portal moved to Blackbaud on July 1, 2026 - returning applicants must create a new account unless they already have a Blackbaud ID. Contact Community Partnerships, 312-240-7516.",federal-utility,
nsf-sbir-sttr-phase-i-scientific-instrumentation-26-511,"NSF SBIR/STTR Phase I, Phase II and Fast-Track - Pilot Emphasis on Scientific Instrumentation",U.S. National Science Foundation (NSF),Federal,grant,open,False,54,recurring_unscheduled,2026-05-22,2026-11-04,,Solicitation 26-511,,"~$40,000,000 across ~86 anticipated awards (roughly $465,000 average); per-award amounts set by the NSF solicitation",No cost share required,US - Chicago small businesses eligible,for_profit,pre_revenue_ok,none,equipment;other,"Narrow topical scope - this cycle is a pilot emphasis limited to next-generation scientific instrumentation, experimental platforms and scientific equipment. General-purpose software or service startups are a poor fit.",free,official,False,,False,,https://www.grants.gov/search-results-detail/362551,https://www.grants.gov/search-results-detail/362551,2026-09-11,"Grants.gov synopsis 26-511 fetched today: posted May 22, 2026, closes Nov 04, 2026; $40,000,000 estimated funding, 86 anticipated awards; PI must be >=51% employed by the small business.","Included because the task asked to record SBIR/STTR only if a Chicago small business could apply this cycle - this one is open with a hard Nov 4, 2026 deadline. SBA itself does not run SBIR solicitations; individual agencies do.",federal-utility,
imls-inspire-grants-small-museums-fy2027,IMLS Inspire Grants for Small Museums (FY 2027),"Institute of Museum and Library Services (IMLS), Office of Museum Services",Federal,grant,open,False,63,recurring_scheduled,2026-09-01,2026-11-13,23:59 US Eastern Time,FY2027 competition (IGSM-FY27),,"Small Project: $5,000-$25,000; Large Project: $25,001-$75,000 (avg. $43,147)",Cost share required - see NOFO; ~75 awards expected,US and territories - Chicago small museums eligible,nonprofit,established,none,training;other,Applicant must be a museum or its parent operating entity.,free,official,True,announced 2026-09-01,False,,https://www.grants.gov/search-results-detail/363771,https://www.grants.gov/search-results-detail/363771,2026-09-11,"IGSM-FY27 NOFO (downloaded from Grants.gov): 'Apply by 11:59 p.m. U.S. Eastern Time on November 13, 2026.' $3,000,000 available, 75 awards.",Best-fit IMLS program for a small Southeast Chicago community museum or heritage nonprofit; first-time federal applicants are explicitly a target audience.,federal-utility,
imls-museum-grants-african-american-history-culture-fy2027,IMLS Museum Grants for African American History and Culture (FY 2027),"Institute of Museum and Library Services (IMLS), Office of Museum Services",Federal,grant,open,False,63,recurring_scheduled,2026-09-01,2026-11-13,23:59 US Eastern Time,FY2027 competition (AAHC-FY27),,"Small Projects $5,000-$100,000; Large Projects $100,001-$500,000 (avg. $187,500)","Cost share varies by requested amount - see NOFO; $6,000,000 available, ~32 awards",US - Chicago museums eligible,nonprofit,established,"other (institution's mission must focus on African American life, art, history and/or culture)",training;other,"Mission focus requirement is on the institution, not the applicant's owners.",free,official,True,announced 2026-09-01,False,,https://www.grants.gov/search-results-detail/363770,https://www.grants.gov/search-results-detail/363770,2026-09-11,"AAHC-FY27 NOFO (downloaded from Grants.gov): 'Apply by 11:59 p.m. U.S. Eastern Time on November 13, 2026.' $6,000,000 available, 32 awards.","Highly relevant to Southeast Chicago heritage institutions; the mission-focus test is on the museum, and IMLS also accepts a parent nonprofit applying on an eligible museum's behalf.",federal-utility,
imls-museum-grants-american-latino-history-culture-fy2027,IMLS Museum Grants for American Latino History and Culture (FY 2027),"Institute of Museum and Library Services (IMLS), Office of Museum Services",Federal,grant,open,False,63,recurring_scheduled,2026-09-01,2026-11-13,23:59 US Eastern Time,FY2027 competition (ALHC-FY27),,"$5,000 - $500,000 (avg. $375,000)","Cost share - see NOFO; $6,000,000 available, ~16 awards",US - Chicago museums eligible,nonprofit,established,"other (institution's mission must focus on American Latino life, art, history and/or culture)",training;other,,free,official,True,announced 2026-09-01,False,,https://www.grants.gov/search-results-detail/363772,https://www.grants.gov/search-results-detail/363772,2026-09-11,"ALHC-FY27 NOFO (downloaded from Grants.gov): 'Apply by 11:59 p.m. U.S. Eastern Time on November 13, 2026.' $6,000,000 available, 16 awards.",,federal-utility,
imls-museums-for-america-fy2027,IMLS Museums for America (FY 2027),"Institute of Museum and Library Services (IMLS), Office of Museum Services",Federal,grant,open,False,63,recurring_scheduled,2026-09-01,2026-11-13,23:59 US Eastern Time,FY2027 competition (MFA-FY27),,"$5,000 - $350,000 (avg. $177,860)",1:1 cost share required - non-federal funds equal to or greater than the federal award,"US (50 states, DC and territories) - Chicago museums eligible",nonprofit,established,none,training;other,Applicant must qualify as a museum (or its parent operator); 1:1 non-federal cost share is mandatory.,free,official,True,announced 2026-09-01,False,,https://www.grants.gov/search-results-detail/363768,https://www.grants.gov/search-results-detail/363768,2026-09-11,"Grants.gov: MFA-FY27 posted 09/01/2026, closes 11/13/2026. NOFO PDF: 'Apply by 11:59 p.m. U.S. Eastern Time on November 13, 2026.'","IMLS's own program page (imls.gov/grants/available/museums-america) is STALE - it still shows a Nov 14, 2025 deadline and says the FY2026 NOFO 'is not yet available.' The live FY27 NOFO (fy27-oms-mfa-NOFO.pdf) was downloaded from Grants.gov this run and confirms the Nov 13, 2026 deadline, $21,699,000 total, ~122 awards. IMLS posted 13 FY2027 NOFOs on 2026-09-01, ALL closing 2026-11-13: the four recorded here plus Museums Empowered, 21st Century Museum Professionals, National Leadership Grants for Museums ($50k-$750k) and for Libraries, Laura Bush 21st Century Librarian, Native American/Native Hawaiian Museum Services, and Native American/Native Hawaiian Library Services (Basic and Enhancement).",federal-utility,
chicago-nof,Neighborhood Opportunity Fund (NOF),Chicago Department of Planning and Development (DPD),City,reimbursement,open,False,63,recurring_scheduled,,2026-11-13,23:59 America/Chicago (timezone not stated on page),"Q4 2026 round — 11:59 p.m. Friday, Nov. 13",,"Up to $250,000",Up to 75% of eligible project expenses (reimbursement or escrow),"West, Southwest and South Side NOF-eligible/priority commercial corridors (Chicago) — includes Southeast Chicago corridors; confirm by address via the NOF Eligibility Map or NOF@CityofChicago.org",for_profit;nonprofit;property_owner,any,none,building_improvements;facade;other,"Hard gates: 50% proof of project financing (bank statement or active lender closing docs) and proof of site control (recorded deed, 5-year executed lease, or purchase/sale agreement). Work started before a conditional award letter is not reimbursable.",free,official,False,,True,nof,https://cocdpd.submittable.com/submit,https://www.chicago.gov/city/en/sites/neighborhood-opportunity-fund/home.html,2026-09-11,"""Applications open now for NOF grants ... Next application period — Q4 2026 application deadline: 11:59 p.m. Friday, Nov. 13.""","STALE CITY PAGE: the NOF 'Apply' subpage (chicago.gov/.../neighborhood-opportunity-fund/home/Apply.html, fetched today) still instructs 'Submit your application by 11:59 p.m. on August 14, 2026.' The home page and the DPD grant-opportunities page both say Nov. 13 — treat Nov. 13 as controlling. CATALOG DISAGREEMENT: Explorer records nextWindow null with 'no specific next-round date published'; a date is now published. Nov 13, 2026 is a Friday (checks out).",city,
entreprenista-evolve-grant-2026,Entreprenista Evolve Grant presented by IT Cosmetics,Entreprenista (with IT Cosmetics),Private,award_drawing,open,False,80,recurring_scheduled,2026-07-01,2026-11-30,23:59 America/New_York (10:59 p.m. America/Chicago),Entry period 7/1/26 - 11/30/26,,"$5,000 cash (one winner)",,United States,for_profit;nonprofit,operating_1yr,women,working_capital;marketing;equipment;other,No prior Entreprenista grant in the past 12 months; valid business email required,free,sweepstakes,True,not in Explorer catalog,False,,https://www.entreprenista.com/evolve,https://www.entreprenista.com/evolve-tc,2026-09-11,"Entry period ""begins at 12 a.m. ET on 07/01/26 and ends at 11:59 p.m. ET on 11/30/2026""; one $5,000 cash winner selected on or around 12/10/26 by random drawing; no cost to enter.","RANDOM DRAWING, not a scored grant - the Terms & Conditions are explicit. The public /evolve landing page prints the eligibility but no deadline; the dates come from the T&C page (used as sourceUrl). Note there is a REVENUE FLOOR ($100k), so early-stage Chicago businesses are out.",private-national,
walmart-spark-good-local-grants-fy27-c3,Spark Good Local Grants,Walmart / Walmart Foundation,Private,grant,open,False,80,recurring_scheduled,2026-08-01,2026-11-30,,FY27 Cycle 3,2027-02-01,"$250 to $5,000",,US — must serve the service area of the specific Walmart/Sam's Club facility applied to,nonprofit,any,none,equipment;other,"A faith-based organization's project must benefit the community at large, not solely its congregation. Requires a Deed-verified Spark Good account before applying.",free,official,False,,False,,https://walmart.org/how-we-give/local-community-grants,https://walmart.org/how-we-give/local-community-grants,2026-09-11,"""Cycle 3: Aug. 1 - Nov. 30"" is the current FY27 application window; ""Grant amounts range from $250 to $5,000."" Apply from a verified Spark Good account on Walmart.com.","One of the very few national corporate programs open to congregations. Apply to a specific local store, and set up the Deed-verified Spark Good account first — that verification takes time, so start before the Nov 30 cutoff.",foundation-sector,
